PSNR_YYUV,SSIM (precise)_YYUV
BasketballDrive_1920x1080_50.yuv,BasketballDrive_1920x1080_50.yuv
v205_avc_cutoff_0B/BasketballDrive_1920x1080_50_2M.264,v205_avc_cutoff_0B/BasketballDrive_1920x1080_50_2M.264
AVG: 31.39131,AVG: 0.86299
33.92888,0.86927
33.03282,0.87842
32.31982,0.86127
32.03488,0.86836
31.62398,0.85419
31.64486,0.86357
31.58551,0.85535
31.42477,0.86333
31.30239,0.85321
31.00893,0.85890
30.69194,0.84785
30.76435,0.85883
30.48556,0.84721
31.00652,0.86024
30.47421,0.84689
30.44049,0.85585
30.17649,0.84573
30.18123,0.85439
29.98764,0.84537
30.05858,0.85314
30.51040,0.85068
30.82742,0.86126
30.70650,0.85284
30.72712,0.86095
30.50741,0.85178
30.79940,0.86301
31.41866,0.86183
31.94711,0.87549
32.06958,0.87043
32.09669,0.88022
32.17010,0.87507
32.23208,0.88461
32.11312,0.87619
32.19831,0.88542
32.05079,0.87626
32.15083,0.88572
32.06148,0.87759
32.23650,0.88757
32.10773,0.87811
32.27798,0.88783
32.10932,0.87747
32.24733,0.88696
32.02504,0.87635
32.06835,0.88363
31.87569,0.87186
31.79681,0.87602
31.78574,0.86460
31.66563,0.86729
31.27720,0.84909
31.15188,0.85036
30.74967,0.82947
30.38826,0.82957
29.96016,0.81116
30.07099,0.82459
29.78426,0.80922
29.96764,0.82273
29.77191,0.81024
29.97927,0.82298
29.80137,0.81063
30.01545,0.82365
29.85296,0.81282
30.12355,0.82655
29.98896,0.81520
30.21833,0.82707
30.04815,0.81399
30.34616,0.82844
30.12672,0.81524
30.41683,0.82888
30.27386,0.81727
30.54077,0.83086
30.48896,0.82379
30.88821,0.84125
30.75015,0.83366
31.12532,0.85084
30.76515,0.83881
30.88523,0.85490
30.67735,0.84471
31.03106,0.86178
30.86773,0.85322
31.24909,0.87049
31.05704,0.86241
31.39045,0.87767
31.28428,0.87062
31.61964,0.88488
31.54577,0.87885
31.74339,0.89182
31.69361,0.88212
31.92926,0.89446
32.00164,0.88684
32.38298,0.89764
32.23952,0.88974
32.51204,0.90059
32.29457,0.89206
32.48598,0.90282
32.87579,0.89884
32.91844,0.90726
32.78583,0.90025
32.84146,0.90841
32.66318,0.89938
32.72294,0.90743
35.92715,0.92186
34.65653,0.92071
33.84561,0.90827
33.42505,0.91085
33.07085,0.90140
32.91323,0.90634
32.67690,0.89706
32.80555,0.90341
32.64183,0.89494
32.49038,0.89932
32.19095,0.88954
32.19948,0.89370
32.01076,0.88273
31.95358,0.88657
31.59354,0.87333
31.38517,0.87629
31.01902,0.86343
30.93200,0.86893
30.89601,0.85987
30.71351,0.86157
30.49534,0.84876
30.43270,0.85274
30.14310,0.83787
30.01510,0.84111
29.80351,0.82861
29.69937,0.83115
29.62160,0.81744
29.62818,0.82599
29.44017,0.81251
29.55300,0.82593
29.40572,0.81361
29.68277,0.83033
29.58148,0.81909
29.77807,0.83209
29.69724,0.82321
29.96376,0.83740
29.75487,0.82517
30.02480,0.83978
30.18881,0.83513
30.66512,0.85146
31.18415,0.85299
31.69361,0.87023
31.85920,0.86498
32.32572,0.88203
32.15213,0.87270
32.51595,0.88557
32.32734,0.87564
32.57290,0.88625
32.30379,0.87511
32.55827,0.88587
32.21166,0.87378
32.44214,0.88404
32.14645,0.87260
32.40691,0.88256
32.10008,0.87098
32.33109,0.88139
32.11580,0.87133
32.32620,0.88152
31.99340,0.87012
32.37113,0.88205
32.15445,0.87171
32.28033,0.88014
32.05844,0.86996
32.24739,0.88029
31.87833,0.86650
32.14307,0.87901
31.82759,0.86522
31.90341,0.87366
31.81673,0.86275
32.06644,0.87451
31.68106,0.86056
31.95228,0.87310
31.66518,0.85996
31.77252,0.86854
31.54490,0.85599
31.70197,0.86513
31.33374,0.84992
31.58640,0.86324
31.32700,0.84970
31.54150,0.86101
31.36091,0.84922
31.64329,0.86177
31.35726,0.84766
31.73129,0.86252
31.51488,0.85063
31.85911,0.86435
31.76702,0.85615
32.02001,0.86803
31.73358,0.85614
31.98042,0.86909
31.79971,0.85828
32.01793,0.86883
31.71416,0.85757
31.99669,0.87057
31.75148,0.86046
32.06396,0.87312
31.85564,0.86372
32.24464,0.87698
32.09743,0.86769
32.44999,0.88199
36.53906,0.91891
35.27151,0.91875
34.48553,0.90476
34.57124,0.91266
34.12872,0.90065
34.27588,0.90997
33.89898,0.89805
33.99352,0.90651
33.58423,0.89440
33.73999,0.90444
33.36293,0.89273
33.36174,0.89979
33.07901,0.88886
33.25375,0.89813
32.90298,0.88670
33.04945,0.89609
32.78471,0.88517
32.88918,0.89317
32.50087,0.88028
32.76123,0.89065
32.44732,0.87782
32.57883,0.88688
32.34785,0.87530
32.42223,0.88298
32.14688,0.87025
32.28859,0.87899
32.00881,0.86536
32.05183,0.87153
31.50644,0.85452
31.23008,0.85712
30.82793,0.84190
30.97518,0.85189
30.47583,0.83440
30.72979,0.84399
30.13479,0.82357
30.14831,0.83211
29.75429,0.81421
29.94522,0.82745
29.65767,0.81202
29.95177,0.82774
29.69120,0.81342
29.85342,0.82648
29.58099,0.81149
29.71284,0.82303
29.48112,0.81049
29.71528,0.82390
29.67646,0.81699
30.17668,0.83511
30.13752,0.83061
30.28473,0.83895
31.36367,0.83093
31.37802,0.84585
31.38240,0.84588
