PSNR_YYUV,SSIM (precise)_YYUV
BasketballDrive_1920x1080_50.yuv,BasketballDrive_1920x1080_50.yuv
v205_avc_cuton_3B/BasketballDrive_1920x1080_50_5M.264,v205_avc_cuton_3B/BasketballDrive_1920x1080_50_5M.264
AVG: 35.01798,AVG: 0.90794
35.79263,0.89232
33.97252,0.89446
32.99530,0.87438
33.29634,0.88739
34.17101,0.88637
33.10928,0.88548
32.60565,0.87213
33.07829,0.88651
33.71651,0.88466
33.89474,0.89464
33.67329,0.88555
33.85928,0.89587
33.74485,0.88768
34.70821,0.90404
34.60984,0.89696
35.00885,0.90896
35.27788,0.90486
35.29441,0.91297
35.07800,0.90510
35.70125,0.91755
36.50898,0.91736
36.36122,0.92260
36.05078,0.91337
36.51709,0.92409
36.84887,0.91978
36.67027,0.92539
36.30333,0.91631
36.68176,0.92713
37.19253,0.92404
36.52750,0.92755
36.11849,0.91869
36.44987,0.92917
37.01676,0.92587
36.34734,0.92923
35.92783,0.91910
36.34141,0.92980
36.93521,0.92581
36.24928,0.92839
35.90982,0.91770
36.33223,0.92795
36.94608,0.92459
36.25392,0.92759
35.79561,0.91621
36.18779,0.92722
36.72994,0.92250
35.91256,0.92235
35.51753,0.91059
35.75198,0.91982
36.07549,0.91047
34.96714,0.90666
34.34470,0.89072
34.63988,0.90370
35.03269,0.89402
33.87575,0.89347
33.24359,0.87535
33.55494,0.88876
34.13825,0.88430
33.65554,0.88893
33.17761,0.87377
33.58693,0.88765
33.95407,0.88195
33.60935,0.88785
33.28857,0.87528
33.60244,0.88676
34.05898,0.88055
33.67756,0.88655
33.27593,0.87230
33.86242,0.88692
34.18319,0.88074
33.76074,0.88564
33.53621,0.87580
34.06226,0.89009
34.45767,0.88823
33.76577,0.89240
33.30014,0.87569
34.16392,0.89842
35.29789,0.90255
34.63805,0.90914
34.04006,0.89562
34.66931,0.91168
35.24174,0.91055
34.78860,0.91650
34.38923,0.90573
35.10862,0.92063
35.78811,0.92017
35.24537,0.92465
34.73054,0.91051
35.33519,0.92336
36.30300,0.92397
35.65367,0.92522
35.29250,0.91535
35.80868,0.92717
36.51664,0.92615
35.83653,0.92847
35.49936,0.92029
36.03978,0.93154
36.75420,0.92957
35.98893,0.93062
35.58277,0.92033
36.41075,0.93385
38.28518,0.93768
36.61781,0.93482
35.78711,0.92204
36.09653,0.93058
36.78545,0.92803
35.91357,0.92818
35.55900,0.91944
35.88795,0.92785
36.40298,0.92417
35.57454,0.92366
35.12506,0.91329
35.55248,0.92343
36.03521,0.91912
35.12541,0.91798
34.70311,0.90723
35.13234,0.91767
35.36376,0.91033
34.70190,0.91204
34.47836,0.90143
34.61422,0.90810
34.74680,0.89989
34.38174,0.90290
33.84083,0.88701
33.99030,0.89544
34.08568,0.88690
33.85494,0.89195
33.21041,0.87442
33.50018,0.88515
33.50785,0.87452
33.39689,0.88484
32.99627,0.86984
33.44324,0.88686
33.70616,0.88053
33.85600,0.89187
33.64165,0.88203
34.05737,0.89623
33.91810,0.88626
34.58447,0.90319
34.31070,0.89376
34.70341,0.90620
35.05125,0.90329
35.53537,0.91693
35.13177,0.90642
35.64932,0.92093
35.76244,0.91420
35.98529,0.92441
35.64072,0.91450
36.02953,0.92567
36.27867,0.91879
36.16022,0.92593
35.67014,0.91461
35.98240,0.92517
36.26739,0.91886
36.29493,0.92614
35.79156,0.91508
36.18569,0.92595
36.28949,0.91897
36.36167,0.92725
35.95418,0.91706
36.41711,0.92823
36.75162,0.92238
36.44324,0.92753
36.05704,0.91753
36.47937,0.92855
36.63754,0.92057
36.53109,0.92858
35.84502,0.91461
36.17255,0.92441
36.43219,0.91763
36.26742,0.92473
35.59129,0.91104
36.15240,0.92391
36.31034,0.91629
35.90260,0.92081
35.44137,0.90834
35.68244,0.91802
35.95948,0.90987
35.76491,0.91750
35.14970,0.90327
35.62583,0.91536
35.96806,0.90901
35.64671,0.91423
35.09864,0.90000
35.68651,0.91479
36.12804,0.90986
35.88473,0.91693
35.54168,0.90655
36.06270,0.91902
36.35344,0.91389
36.10789,0.92047
35.58285,0.90911
35.99710,0.92015
36.44773,0.91729
36.05749,0.92160
35.60282,0.91116
35.99082,0.92283
36.52155,0.92006
35.23173,0.91707
34.93299,0.90576
36.18769,0.92798
39.39666,0.94408
36.70544,0.93505
35.67487,0.91913
36.04503,0.92876
36.50587,0.92353
35.95981,0.92758
35.43968,0.91560
35.86380,0.92657
36.14808,0.92037
35.68800,0.92504
35.08388,0.91243
35.26357,0.92200
35.80001,0.91774
35.41802,0.92219
34.79171,0.90923
35.20233,0.92139
35.61048,0.91592
35.05996,0.91862
34.42681,0.90491
34.86103,0.91665
35.30777,0.91134
34.80079,0.91441
34.32467,0.90113
34.44571,0.90980
34.93147,0.90383
34.45258,0.90691
33.93203,0.89210
34.20830,0.90120
34.56404,0.89460
34.05411,0.89662
33.60708,0.88251
33.99571,0.89411
34.28215,0.88622
33.94965,0.89000
33.42894,0.87291
33.66721,0.88532
33.97478,0.87794
33.78018,0.88735
33.34198,0.87207
33.87843,0.88888
34.07072,0.88031
34.02937,0.89044
33.54804,0.87584
33.96918,0.88989
34.14035,0.88256
33.84756,0.88835
33.58755,0.87906
34.20073,0.89599
34.77645,0.89895
34.17473,0.90051
33.99746,0.86552
36.22113,0.89813
36.17360,0.89786
