PSNR_YYUV,SSIM (precise)_YYUV
BasketballDrive_1920x1080_50.yuv,BasketballDrive_1920x1080_50.yuv
x264/BasketballDrive_1920x1080_50_5M.264,x264/BasketballDrive_1920x1080_50_5M.264
AVG: 35.75998,AVG: 0.92122
38.04542,0.92422
38.64530,0.94217
38.24564,0.93291
38.42420,0.94292
38.15159,0.93497
38.46502,0.94395
38.23138,0.93684
38.66840,0.94633
38.32843,0.93900
38.66808,0.94744
38.41134,0.94070
38.83470,0.94960
38.58017,0.94235
38.17445,0.94575
37.16865,0.93412
36.61185,0.93742
35.66051,0.92553
35.81739,0.93198
35.53001,0.92416
35.96806,0.93254
35.89826,0.92517
36.46320,0.93332
36.21184,0.92559
36.69593,0.93391
36.31103,0.92496
36.71640,0.93331
36.34172,0.92428
36.61975,0.93207
36.25302,0.92410
36.44151,0.93254
36.13411,0.92427
36.24697,0.93301
35.89654,0.92410
36.12247,0.93229
35.82067,0.92329
36.17710,0.93283
35.93037,0.92401
36.21686,0.93260
36.04460,0.92364
36.46101,0.93292
36.10736,0.92339
36.37243,0.93218
36.00000,0.92249
36.16508,0.93079
35.79523,0.91967
36.02439,0.92762
35.57228,0.91539
35.66547,0.92360
35.17197,0.90778
35.37427,0.91778
34.81546,0.90037
34.52361,0.90750
34.08929,0.89080
33.95940,0.90073
33.58159,0.88658
33.81247,0.89909
33.59676,0.88732
33.90282,0.89915
33.60574,0.88731
33.89786,0.89952
33.58544,0.88806
33.94376,0.90049
33.72491,0.88913
33.92442,0.89932
33.68855,0.88676
34.01437,0.89899
33.75827,0.88651
34.18937,0.89886
33.87795,0.88755
34.12564,0.89980
33.97743,0.89169
34.49412,0.90540
33.97669,0.89432
34.70329,0.91151
34.52490,0.90072
35.22004,0.91879
34.90288,0.90804
35.59487,0.92444
35.18195,0.91435
35.95489,0.92963
35.49627,0.91992
36.20835,0.93421
35.87921,0.92596
36.72253,0.93914
36.29162,0.93004
37.04762,0.94237
36.62046,0.93231
37.29568,0.94315
37.02176,0.93370
37.65007,0.94315
37.18916,0.93450
37.72394,0.94379
37.31942,0.93540
37.91486,0.94535
37.45026,0.93727
38.07668,0.94676
37.62481,0.93847
38.22346,0.94702
37.77407,0.93821
37.60533,0.94350
39.43081,0.94623
38.90139,0.94978
38.25683,0.94085
38.29864,0.94616
37.89058,0.93827
38.08823,0.94469
37.66684,0.93666
37.88887,0.94293
37.49743,0.93487
37.75773,0.94135
37.27421,0.93303
37.46725,0.93960
37.02103,0.92998
37.20674,0.93776
36.62754,0.92668
36.81636,0.93441
36.35297,0.92313
36.28687,0.92938
36.09665,0.92022
36.28170,0.92788
35.87297,0.91610
36.08076,0.92478
35.49800,0.91088
35.74199,0.91978
35.30341,0.90715
35.49270,0.91531
34.87353,0.89986
35.04466,0.91019
34.64046,0.89619
35.00220,0.91038
34.63864,0.89733
35.16578,0.91351
34.91579,0.90250
35.26519,0.91481
35.07191,0.90609
35.45245,0.91887
35.17687,0.90832
35.55431,0.92137
35.30536,0.91179
35.64312,0.92315
35.42931,0.91552
35.89914,0.92837
35.50214,0.91794
35.98210,0.93096
35.60777,0.92053
35.97160,0.93165
35.72812,0.92180
36.03366,0.93159
35.69764,0.92092
36.04339,0.93111
35.71372,0.92101
36.01550,0.93103
35.68169,0.92087
36.01730,0.93035
35.68712,0.92006
35.94041,0.92976
35.71966,0.92072
35.94019,0.93009
35.64488,0.92004
36.04763,0.93066
35.73782,0.92046
35.93769,0.92912
35.72734,0.91995
36.00832,0.93042
35.59197,0.91839
35.95278,0.92957
35.54831,0.91731
35.62882,0.92557
35.46432,0.91540
35.75978,0.92641
35.32529,0.91386
35.61035,0.92516
35.22947,0.91315
35.20768,0.92126
35.05342,0.91074
35.19781,0.91953
34.79678,0.90570
35.00077,0.91754
34.74386,0.90553
34.99913,0.91554
34.69996,0.90401
35.04024,0.91486
34.73146,0.90278
35.22421,0.91618
34.91048,0.90527
35.36932,0.91805
35.20635,0.90914
35.55689,0.91990
35.14539,0.90905
35.48520,0.92073
35.17802,0.91109
35.48088,0.92087
35.14590,0.91171
35.41952,0.92179
35.14970,0.91267
35.46579,0.92316
35.20249,0.91428
35.57737,0.92489
35.36441,0.91536
34.96447,0.92170
37.60565,0.93354
37.11226,0.93766
36.61314,0.92821
36.84393,0.93649
36.56326,0.92700
36.85726,0.93591
36.53621,0.92685
36.75422,0.93552
36.43600,0.92582
36.61684,0.93488
36.29350,0.92556
36.25696,0.93255
36.19929,0.92443
36.40697,0.93326
36.14726,0.92405
36.27142,0.93244
36.03590,0.92319
36.16062,0.93107
35.76363,0.92043
36.07594,0.93009
35.74762,0.91904
35.84368,0.92775
35.61497,0.91723
35.66779,0.92484
35.34778,0.91297
35.57582,0.92231
35.27719,0.91045
35.40054,0.91823
35.14750,0.90669
35.28442,0.91510
34.96965,0.90351
35.30325,0.91438
35.00504,0.90172
35.22180,0.91199
34.83047,0.89801
35.03271,0.90930
34.68586,0.89549
35.08475,0.90963
34.76948,0.89648
35.17130,0.91116
34.79208,0.89835
35.14961,0.91141
34.75683,0.89862
35.06438,0.91080
34.66440,0.89944
34.97705,0.91125
34.80585,0.90425
35.22389,0.91741
34.80677,0.91045
34.56878,0.91478
37.19956,0.90451
37.16565,0.91641
37.18555,0.91652
