video1,video2,PSNR_YYUV,SSIM (precise)_YYUV
Cactus_1920x1080_50.yuv,v205_avc_cutoff_0B/Cactus_1920x1080_50_1M.264,27.18419,0.76394
Cactus_1920x1080_50.yuv,v205_avc_cutoff_0B/Cactus_1920x1080_50_2M.264,31.34193,0.85348
Cactus_1920x1080_50.yuv,v205_avc_cutoff_0B/Cactus_1920x1080_50_3M.264,33.08681,0.88394
Cactus_1920x1080_50.yuv,v205_avc_cutoff_0B/Cactus_1920x1080_50_4M.264,34.06535,0.89934
Cactus_1920x1080_50.yuv,v205_avc_cutoff_0B/Cactus_1920x1080_50_5M.264,35.19029,0.91449
Cactus_1920x1080_50.yuv,v205_avc_cutoff_3B/Cactus_1920x1080_50_1M.264,29.56122,0.82076
Cactus_1920x1080_50.yuv,v205_avc_cutoff_3B/Cactus_1920x1080_50_2M.264,32.01711,0.86700
Cactus_1920x1080_50.yuv,v205_avc_cutoff_3B/Cactus_1920x1080_50_3M.264,33.27922,0.88816
Cactus_1920x1080_50.yuv,v205_avc_cutoff_3B/Cactus_1920x1080_50_4M.264,34.44482,0.90601
Cactus_1920x1080_50.yuv,v205_avc_cutoff_3B/Cactus_1920x1080_50_5M.264,35.35772,0.91813
Cactus_1920x1080_50.yuv,v205_avc_cuton_0B/Cactus_1920x1080_50_1M.264,29.86439,0.82448
Cactus_1920x1080_50.yuv,v205_avc_cuton_0B/Cactus_1920x1080_50_2M.264,32.23076,0.86985
Cactus_1920x1080_50.yuv,v205_avc_cuton_0B/Cactus_1920x1080_50_3M.264,33.20573,0.88595
Cactus_1920x1080_50.yuv,v205_avc_cuton_0B/Cactus_1920x1080_50_4M.264,34.30930,0.90221
Cactus_1920x1080_50.yuv,v205_avc_cuton_0B/Cactus_1920x1080_50_5M.264,35.28358,0.91571
Cactus_1920x1080_50.yuv,v205_avc_cuton_3B/Cactus_1920x1080_50_1M.264,29.77716,0.82254
Cactus_1920x1080_50.yuv,v205_avc_cuton_3B/Cactus_1920x1080_50_2M.264,32.10140,0.86785
Cactus_1920x1080_50.yuv,v205_avc_cuton_3B/Cactus_1920x1080_50_3M.264,33.42516,0.89023
Cactus_1920x1080_50.yuv,v205_avc_cuton_3B/Cactus_1920x1080_50_4M.264,34.47281,0.90632
Cactus_1920x1080_50.yuv,v205_avc_cuton_3B/Cactus_1920x1080_50_5M.264,35.35772,0.91813
Cactus_1920x1080_50.yuv,x264/Cactus_1920x1080_50_1M.264,28.30928,0.79145
Cactus_1920x1080_50.yuv,x264/Cactus_1920x1080_50_2M.264,31.79891,0.86685
Cactus_1920x1080_50.yuv,x264/Cactus_1920x1080_50_3M.264,33.67278,0.89836
Cactus_1920x1080_50.yuv,x264/Cactus_1920x1080_50_4M.264,34.94615,0.91615
Cactus_1920x1080_50.yuv,x264/Cactus_1920x1080_50_5M.264,35.89038,0.92756
