PSNR_YYUV,SSIM (precise)_YYUV
Cactus_1920x1080_50.yuv,Cactus_1920x1080_50.yuv
v205_avc_cutoff_3B/Cactus_1920x1080_50_1M.264,v205_avc_cutoff_3B/Cactus_1920x1080_50_1M.264
AVG: 29.56122,AVG: 0.82076
31.76431,0.84080
31.28974,0.84716
30.92507,0.83575
31.14258,0.84858
31.38783,0.84312
30.56096,0.83847
30.10230,0.82393
30.21280,0.83235
30.58276,0.82966
29.86467,0.82671
29.57327,0.81509
29.67997,0.82288
29.97845,0.81922
29.32275,0.81850
29.03453,0.80824
29.15692,0.81832
29.53572,0.81602
28.95419,0.81470
28.60068,0.80216
28.70895,0.81041
29.06287,0.80751
28.63733,0.80990
28.27655,0.79749
28.45480,0.80714
28.73973,0.80278
28.38791,0.80322
28.08443,0.79178
28.35770,0.80306
28.53600,0.79875
28.39474,0.80269
28.06023,0.79097
28.17841,0.80134
28.26914,0.79584
28.18760,0.79959
27.94495,0.78763
28.13452,0.79807
28.29496,0.79483
28.13821,0.79875
27.80648,0.78669
28.06650,0.79880
28.47841,0.79751
28.11555,0.79824
27.82178,0.78600
28.03709,0.79661
28.46846,0.79498
28.23903,0.79877
27.92622,0.78760
28.06733,0.79659
28.41980,0.79392
28.10300,0.79539
27.90003,0.78364
28.06338,0.79210
28.32716,0.78914
28.19837,0.79261
28.01255,0.78219
28.08680,0.79120
28.23957,0.78832
28.19672,0.79350
28.07937,0.78681
28.22562,0.79752
28.52312,0.79677
28.29942,0.79914
28.06498,0.78882
28.20998,0.79844
28.48413,0.79549
28.30029,0.79677
28.06837,0.78574
28.27028,0.79553
28.51577,0.79339
28.20871,0.79394
28.05127,0.78496
28.17114,0.79441
28.50895,0.79226
28.19021,0.79286
27.94776,0.78180
28.13917,0.79174
28.50925,0.79020
28.20265,0.79056
27.93583,0.77979
28.10147,0.78956
28.35051,0.78692
28.13108,0.78756
27.87896,0.77660
28.16807,0.78877
28.28160,0.78451
28.27421,0.79033
27.96591,0.77853
28.07620,0.78772
28.13779,0.78273
28.34599,0.79083
28.13512,0.78139
28.36528,0.79268
28.55721,0.79000
28.45360,0.79343
28.21924,0.78246
28.43354,0.79445
28.66417,0.79247
29.37805,0.81308
29.47855,0.81046
30.11082,0.83107
31.06661,0.84092
30.34857,0.83575
29.90423,0.82190
29.93140,0.82873
30.07416,0.82324
29.76819,0.82295
29.49555,0.81150
29.72569,0.82221
29.91534,0.81934
29.61396,0.82101
29.34322,0.81120
29.49956,0.82129
29.71197,0.81842
29.58471,0.82024
29.29851,0.80850
29.48940,0.81762
29.60741,0.81236
29.50483,0.81382
29.32745,0.80433
29.58879,0.81603
29.80476,0.81374
29.63820,0.81538
29.39678,0.80459
29.63714,0.81703
29.81083,0.81409
29.72605,0.81867
29.44303,0.80949
29.70505,0.82132
29.83696,0.81725
29.78407,0.82220
29.53188,0.81205
29.81599,0.82363
29.99478,0.82092
29.82910,0.82488
29.56807,0.81407
29.85017,0.82704
29.97396,0.82208
29.83677,0.82521
29.58202,0.81489
29.87959,0.82603
29.87989,0.82010
29.80818,0.82393
29.56018,0.81325
29.78599,0.82392
29.87973,0.81949
30.09965,0.82835
29.83671,0.81759
30.18700,0.83083
30.37172,0.82769
30.30484,0.83302
30.06426,0.82160
30.30667,0.83321
30.54578,0.83005
30.49086,0.83488
30.19573,0.82319
30.46418,0.83414
30.61022,0.83024
30.45236,0.83316
30.18923,0.82171
30.46292,0.83259
30.65212,0.82846
30.58675,0.83221
30.35326,0.82141
30.58253,0.83191
30.67444,0.82699
30.56774,0.83062
30.23679,0.81992
30.51424,0.83132
30.69373,0.82950
30.61936,0.83446
30.33741,0.82505
30.58594,0.83705
30.75629,0.83335
30.62618,0.83622
30.36202,0.82579
30.60702,0.83542
30.76038,0.83141
30.61551,0.83411
30.32901,0.82342
30.55053,0.83426
30.72159,0.83081
30.58105,0.83390
30.34608,0.82443
30.55797,0.83548
30.73135,0.83202
30.52177,0.83430
30.27731,0.82425
30.54020,0.83482
30.68773,0.83159
30.52669,0.83508
30.27796,0.82440
30.55086,0.83666
30.66203,0.83187
30.55621,0.83607
30.24723,0.82522
30.52228,0.83683
30.47501,0.82987
31.63353,0.86178
31.71882,0.85916
32.69740,0.88087
33.65875,0.88873
32.84668,0.88541
31.96389,0.86853
32.15076,0.87615
32.31058,0.87021
31.89996,0.87110
31.43788,0.85789
31.61930,0.86687
31.77794,0.86166
31.44271,0.86367
31.04752,0.85255
31.29943,0.86209
31.52814,0.85705
31.23489,0.85954
30.97200,0.85027
31.15974,0.85925
31.39375,0.85552
31.29279,0.86002
31.01519,0.85059
31.23104,0.86020
31.42406,0.85753
31.24369,0.86040
30.90230,0.84950
31.13299,0.86027
31.29274,0.85535
31.18328,0.85787
30.90679,0.84725
31.07248,0.85605
31.26950,0.85190
30.89241,0.85234
30.71895,0.84368
31.02335,0.85482
31.29248,0.85069
30.86090,0.85247
30.58921,0.84239
30.76771,0.85236
31.06275,0.84954
30.57551,0.84928
30.24246,0.83842
30.35992,0.84674
30.64035,0.84337
30.12665,0.84415
29.82341,0.83257
30.05542,0.84431
30.55430,0.84351
30.06999,0.84329
29.65974,0.83225
29.91772,0.84146
30.11849,0.84041
29.30921,0.83073
27.85414,0.75092
28.98348,0.78405
28.99435,0.78403
