PSNR_YYUV,SSIM (precise)_YYUV
Cactus_1920x1080_50.yuv,Cactus_1920x1080_50.yuv
v205_avc_cuton_0B/Cactus_1920x1080_50_3M.264,v205_avc_cuton_0B/Cactus_1920x1080_50_3M.264
AVG: 33.20573,AVG: 0.88595
31.71211,0.84481
31.38701,0.85176
31.02315,0.83985
31.20049,0.84999
31.09352,0.84004
31.42427,0.85081
31.37618,0.84328
31.59824,0.85326
31.42392,0.84469
31.63820,0.85316
31.68396,0.84802
31.75986,0.85471
31.73170,0.84887
31.95650,0.85868
31.81630,0.85201
32.04936,0.86186
31.83184,0.85397
32.06056,0.86303
31.85692,0.85491
32.02798,0.86274
32.10764,0.85957
32.41866,0.87028
32.22560,0.86283
32.48661,0.87267
32.25153,0.86368
32.45836,0.87236
32.20432,0.86353
32.42617,0.87262
32.17148,0.86376
32.40982,0.87327
32.30405,0.86679
32.56961,0.87667
32.83287,0.87560
33.16275,0.88509
32.99651,0.87789
33.30162,0.88727
33.06233,0.87908
33.39592,0.88859
33.17860,0.88007
33.51615,0.89002
33.26343,0.88099
33.52822,0.88947
33.25616,0.88030
33.52601,0.88856
33.25137,0.88007
33.57016,0.88942
33.33234,0.88122
33.55940,0.88882
33.29126,0.88002
33.54004,0.88792
33.27471,0.87937
33.53346,0.88639
33.26165,0.87809
33.51358,0.88602
33.26381,0.87835
33.52179,0.88697
33.05112,0.87696
33.15984,0.88328
32.83928,0.87445
33.05467,0.88225
32.76348,0.87421
32.96601,0.88198
32.71095,0.87319
32.94162,0.88050
32.64664,0.87151
32.93113,0.87948
32.65456,0.87027
32.86179,0.87757
32.57080,0.86881
32.78674,0.87701
32.53563,0.86872
32.78809,0.87709
32.53162,0.86813
32.76059,0.87620
32.47400,0.86728
32.74182,0.87582
32.47951,0.86674
32.73774,0.87597
32.43919,0.86678
32.67940,0.87555
32.39339,0.86641
32.65899,0.87536
32.36820,0.86594
32.63987,0.87494
32.31672,0.86514
32.56757,0.87464
32.25472,0.86525
32.52049,0.87406
32.41309,0.86776
32.78139,0.87828
32.53053,0.87005
32.83842,0.87965
32.55632,0.87033
32.86174,0.87969
32.57814,0.87022
32.87383,0.87948
32.60714,0.87087
32.90257,0.87995
32.59711,0.87059
32.88456,0.87989
37.24986,0.93753
36.17981,0.93298
35.47173,0.92092
35.54644,0.92489
34.94195,0.91406
35.19513,0.92003
34.74700,0.91013
35.06185,0.91715
34.67427,0.90854
34.74135,0.91444
34.11674,0.90348
34.03940,0.90743
33.51632,0.89579
33.69591,0.90145
33.29861,0.89057
33.52265,0.89657
33.15318,0.88627
33.41389,0.89361
33.06160,0.88378
33.32197,0.89181
33.00253,0.88229
33.24886,0.88973
32.91645,0.88012
33.23421,0.88955
32.94121,0.88099
33.24307,0.89040
32.95077,0.88257
33.27024,0.89185
32.95326,0.88278
33.20553,0.89069
32.87275,0.88144
33.17559,0.89052
32.84305,0.88174
33.14932,0.89154
32.84163,0.88249
33.11603,0.89168
32.79747,0.88198
33.05858,0.89085
32.70707,0.88083
32.93649,0.88891
32.58401,0.87885
32.78346,0.88646
32.84613,0.88160
33.02978,0.88910
33.03527,0.88409
33.44801,0.89482
33.17394,0.88600
33.54566,0.89599
33.24545,0.88666
33.36157,0.89394
33.33077,0.88686
33.39291,0.89287
33.34629,0.88617
33.44881,0.89264
33.36864,0.88549
33.45166,0.89172
33.37957,0.88543
33.42113,0.89117
33.07533,0.88074
33.33010,0.88843
32.98858,0.87815
33.29969,0.88611
33.02048,0.87651
33.25935,0.88468
32.96334,0.87597
33.19904,0.88429
32.88593,0.87619
33.19950,0.88573
32.98418,0.87811
33.25985,0.88779
32.96827,0.87977
33.25980,0.88947
33.01915,0.88118
33.27599,0.88866
32.98199,0.88011
33.22908,0.88706
32.95403,0.87803
33.18298,0.88594
32.88288,0.87707
33.13062,0.88594
32.86541,0.87729
33.11659,0.88560
32.89455,0.87776
33.15099,0.88656
32.84255,0.87770
33.08228,0.88567
32.81409,0.87680
33.07778,0.88552
32.80435,0.87757
33.05401,0.88658
32.78576,0.87770
33.05394,0.88698
32.77401,0.87794
32.96720,0.88614
32.99440,0.88101
33.30023,0.89071
33.01020,0.88186
33.26772,0.89047
33.21874,0.88445
33.61408,0.89511
37.95993,0.94277
37.05505,0.94124
36.19778,0.92833
36.34478,0.93344
35.75433,0.92295
36.08366,0.92964
35.63058,0.91999
35.92223,0.92676
35.44907,0.91733
35.74531,0.92450
35.34266,0.91592
35.67908,0.92317
35.29183,0.91453
35.58936,0.92184
35.23150,0.91422
35.57100,0.92196
35.22492,0.91359
35.60780,0.92177
35.27171,0.91406
35.63427,0.92209
35.31647,0.91506
35.62870,0.92248
35.26866,0.91472
35.41291,0.92111
34.75055,0.90953
34.96845,0.91473
34.41753,0.90387
34.65495,0.91112
34.03393,0.89952
34.50409,0.90798
33.95343,0.89685
34.41100,0.90658
33.85612,0.89523
34.11203,0.90368
33.78392,0.89504
33.99478,0.90253
33.66658,0.89379
33.88795,0.90094
33.57557,0.89218
33.80964,0.89967
33.54339,0.89154
33.81579,0.89972
33.48781,0.89122
33.76136,0.89974
33.48891,0.89179
33.72226,0.89983
33.79713,0.89596
33.80361,0.90152
33.85015,0.89860
33.73544,0.89992
32.51751,0.84185
32.29937,0.85159
32.38268,0.85228
