PSNR_YYUV,SSIM (precise)_YYUV
Cactus_1920x1080_50.yuv,Cactus_1920x1080_50.yuv
x264/Cactus_1920x1080_50_3M.264,x264/Cactus_1920x1080_50_3M.264
AVG: 33.67278,AVG: 0.89836
35.07826,0.90156
35.52810,0.91778
35.06420,0.90919
35.42062,0.91953
34.98400,0.90978
35.31381,0.91863
34.87534,0.90950
35.28158,0.91993
34.97241,0.91235
35.33948,0.92088
35.00488,0.91233
35.34470,0.92043
34.96654,0.91231
34.50723,0.91362
33.44929,0.89918
32.92255,0.89832
32.11336,0.88570
32.30932,0.88888
32.01072,0.88000
32.23169,0.88539
31.97022,0.87773
32.35751,0.88517
32.00646,0.87667
32.34835,0.88523
32.09972,0.87658
32.40240,0.88505
32.17775,0.87662
32.53215,0.88639
32.19350,0.87709
32.58538,0.88767
32.20708,0.87839
32.37201,0.88599
32.12276,0.87765
32.49125,0.88854
32.35812,0.87959
32.75447,0.89128
32.47764,0.88155
32.85878,0.89245
32.57626,0.88180
33.03174,0.89416
32.74961,0.88369
33.10884,0.89422
32.76392,0.88301
33.13527,0.89312
32.77322,0.88225
33.24123,0.89428
32.96947,0.88485
33.36592,0.89566
33.04058,0.88586
33.44680,0.89605
33.11565,0.88613
33.54811,0.89612
33.08209,0.88521
33.47618,0.89541
33.14019,0.88578
33.50387,0.89641
33.17724,0.88744
33.56500,0.89768
33.21209,0.88844
33.61838,0.89872
33.28585,0.89041
33.63680,0.90036
33.28279,0.89023
33.65741,0.89955
33.24781,0.88963
33.67139,0.89928
33.32104,0.88938
33.68373,0.89919
33.19463,0.88840
33.56322,0.89854
33.16380,0.88832
33.59267,0.89877
33.18306,0.88803
33.60968,0.89853
33.17390,0.88777
33.65258,0.89875
33.21067,0.88808
33.67108,0.89972
33.22096,0.88911
33.64379,0.89991
33.21714,0.88945
33.68340,0.90047
33.23234,0.88962
33.70789,0.90099
33.23570,0.88974
33.60616,0.90024
33.06535,0.88866
33.45941,0.89897
33.11228,0.88934
33.62651,0.90123
33.23748,0.89128
33.67575,0.90234
33.20446,0.89083
33.66265,0.90186
33.22485,0.89042
33.63556,0.90111
33.20614,0.89054
33.63020,0.90070
33.21727,0.89000
33.65418,0.90107
34.96926,0.91454
34.79002,0.91704
34.18380,0.90545
34.41586,0.91161
33.96423,0.90224
34.31420,0.90989
33.99331,0.90136
34.40103,0.90956
34.04002,0.90140
34.39362,0.91046
34.03485,0.90242
34.39063,0.91127
33.97075,0.90224
34.07786,0.90707
33.58628,0.89652
33.87662,0.90319
33.49539,0.89403
33.84563,0.90200
33.46816,0.89287
33.83147,0.90147
33.42192,0.89172
33.70203,0.89887
33.35631,0.88982
33.75993,0.89941
33.43888,0.89110
33.75665,0.89992
33.44986,0.89229
33.81442,0.90129
33.50222,0.89289
33.79930,0.90099
33.44582,0.89216
33.73013,0.90015
33.38603,0.89169
33.72448,0.90153
33.46119,0.89333
33.80273,0.90330
33.45071,0.89370
33.76521,0.90297
33.40011,0.89343
33.74004,0.90217
33.30134,0.89195
33.48130,0.89891
33.16008,0.88993
33.50818,0.89866
33.26512,0.89105
33.70912,0.90053
33.36430,0.89186
33.77597,0.90189
33.42421,0.89250
33.80794,0.90169
33.49586,0.89259
33.81733,0.90112
33.54915,0.89274
33.93476,0.90171
33.60870,0.89286
33.95666,0.90161
33.64661,0.89328
33.88760,0.90096
33.64262,0.89283
33.95636,0.90069
33.70830,0.89204
34.08300,0.90064
33.76218,0.89177
34.02970,0.89993
33.78497,0.89246
34.03297,0.90043
33.70295,0.89267
34.02599,0.90085
33.78347,0.89330
34.08911,0.90231
33.87872,0.89561
34.20149,0.90509
33.96623,0.89783
34.23976,0.90479
33.92480,0.89690
34.20058,0.90356
33.90192,0.89557
34.19124,0.90367
33.86796,0.89550
34.07193,0.90335
33.82777,0.89535
34.07053,0.90314
33.90370,0.89639
34.18349,0.90487
33.89843,0.89685
34.12701,0.90390
33.90065,0.89657
34.16821,0.90469
33.91968,0.89748
34.21968,0.90633
33.91824,0.89793
34.21930,0.90656
33.92820,0.89808
34.22179,0.90678
33.85466,0.89769
34.18652,0.90654
33.77812,0.89750
33.93966,0.90414
33.64722,0.89539
34.15628,0.90750
35.47892,0.91966
35.29850,0.92308
34.56404,0.91109
34.84996,0.91805
34.41536,0.90821
34.75859,0.91618
34.41078,0.90733
34.68329,0.91445
34.31094,0.90543
34.58026,0.91319
34.25727,0.90544
34.56305,0.91300
34.31738,0.90470
34.42009,0.91099
34.06664,0.90317
34.36313,0.91096
34.14418,0.90331
34.50546,0.91165
34.20044,0.90358
34.51962,0.91183
34.22974,0.90442
34.53356,0.91202
34.18136,0.90378
34.40082,0.91167
34.08097,0.90295
34.38857,0.90976
34.09203,0.90145
34.40747,0.91012
34.06447,0.90203
34.36432,0.90944
34.10987,0.90099
34.45764,0.90945
34.15270,0.90080
34.50455,0.90999
34.20896,0.90233
34.49654,0.91070
34.21351,0.90294
34.41833,0.90986
34.14941,0.90188
34.38544,0.90944
34.05268,0.90122
34.36053,0.90951
34.03176,0.90125
34.30830,0.90954
33.99865,0.90146
34.25462,0.90930
33.87915,0.90112
34.03875,0.90756
33.59107,0.90034
33.37164,0.90063
32.19323,0.83997
32.20060,0.85393
32.21633,0.85408
