video1,video2,PSNR_YYUV,SSIM (precise)_YYUV
concert_1920x1080_30.yuv,v205_avc_cutoff_0B/concert_1920x1080_30_1M.264,30.36164,0.90533
concert_1920x1080_30.yuv,v205_avc_cutoff_0B/concert_1920x1080_30_2M.264,34.91127,0.94468
concert_1920x1080_30.yuv,v205_avc_cutoff_0B/concert_1920x1080_30_3M.264,37.73309,0.96445
concert_1920x1080_30.yuv,v205_avc_cutoff_0B/concert_1920x1080_30_4M.264,39.95865,0.97573
concert_1920x1080_30.yuv,v205_avc_cutoff_0B/concert_1920x1080_30_5M.264,40.42409,0.97595
concert_1920x1080_30.yuv,v205_avc_cutoff_3B/concert_1920x1080_30_1M.264,30.06510,0.90106
concert_1920x1080_30.yuv,v205_avc_cutoff_3B/concert_1920x1080_30_2M.264,33.74160,0.93612
concert_1920x1080_30.yuv,v205_avc_cutoff_3B/concert_1920x1080_30_3M.264,36.76926,0.95845
concert_1920x1080_30.yuv,v205_avc_cutoff_3B/concert_1920x1080_30_4M.264,38.73262,0.96959
concert_1920x1080_30.yuv,v205_avc_cutoff_3B/concert_1920x1080_30_5M.264,40.56162,0.97736
concert_1920x1080_30.yuv,v205_avc_cuton_0B/concert_1920x1080_30_1M.264,31.87875,0.92033
concert_1920x1080_30.yuv,v205_avc_cuton_0B/concert_1920x1080_30_2M.264,34.92989,0.94540
concert_1920x1080_30.yuv,v205_avc_cuton_0B/concert_1920x1080_30_3M.264,37.48886,0.96316
concert_1920x1080_30.yuv,v205_avc_cuton_0B/concert_1920x1080_30_4M.264,39.99053,0.97501
concert_1920x1080_30.yuv,v205_avc_cuton_0B/concert_1920x1080_30_5M.264,41.80830,0.98150
concert_1920x1080_30.yuv,v205_avc_cuton_3B/concert_1920x1080_30_1M.264,30.23486,0.90291
concert_1920x1080_30.yuv,v205_avc_cuton_3B/concert_1920x1080_30_2M.264,33.74162,0.93612
concert_1920x1080_30.yuv,v205_avc_cuton_3B/concert_1920x1080_30_3M.264,36.76926,0.95845
concert_1920x1080_30.yuv,v205_avc_cuton_3B/concert_1920x1080_30_4M.264,38.73262,0.96959
concert_1920x1080_30.yuv,v205_avc_cuton_3B/concert_1920x1080_30_5M.264,40.56162,0.97736
concert_1920x1080_30.yuv,x264/concert_1920x1080_30_1M.264,29.66518,0.89629
concert_1920x1080_30.yuv,x264/concert_1920x1080_30_2M.264,34.05710,0.94074
concert_1920x1080_30.yuv,x264/concert_1920x1080_30_3M.264,37.35442,0.96527
concert_1920x1080_30.yuv,x264/concert_1920x1080_30_4M.264,40.00406,0.97809
concert_1920x1080_30.yuv,x264/concert_1920x1080_30_5M.264,41.94049,0.98394
