PSNR_YYUV,SSIM (precise)_YYUV
concert_1920x1080_30.yuv,concert_1920x1080_30.yuv
v205_avc_cutoff_3B/concert_1920x1080_30_1M.264,v205_avc_cutoff_3B/concert_1920x1080_30_1M.264
AVG: 30.06510,AVG: 0.90106
36.75289,0.95789
32.85715,0.93544
32.84126,0.93485
35.73037,0.95113
35.86229,0.95166
32.88873,0.93187
32.60545,0.92916
33.15776,0.93243
34.42453,0.94083
32.25081,0.92485
32.26342,0.92476
31.62244,0.92143
33.09132,0.93375
31.32927,0.91420
31.13823,0.91407
32.62405,0.92496
32.71872,0.92541
30.97353,0.90770
30.33518,0.89853
30.75883,0.90373
31.52425,0.91206
29.93319,0.89485
29.92663,0.89473
29.87159,0.89286
30.99257,0.90573
29.82609,0.89018
29.62269,0.88709
30.56218,0.90026
30.83628,0.90211
29.61951,0.88350
29.63311,0.88530
29.51736,0.88599
30.86058,0.90127
29.68805,0.88404
29.66768,0.88382
29.05751,0.87405
32.70644,0.93593
29.79149,0.90883
29.22602,0.90282
31.62062,0.92770
31.83012,0.92872
29.72420,0.90733
29.23844,0.90249
29.79594,0.90631
31.80756,0.92757
29.53158,0.90224
29.32761,0.90052
29.68476,0.90539
31.23551,0.92050
29.74999,0.90779
29.42130,0.90404
30.86998,0.91905
30.91296,0.91919
29.39029,0.90196
29.18696,0.89987
29.19283,0.89773
30.63460,0.91507
29.00547,0.89556
29.00547,0.89556
28.86823,0.89362
33.85743,0.94030
30.16998,0.91026
29.53193,0.90167
31.08612,0.92166
31.96146,0.92694
29.56806,0.90175
29.21572,0.89731
29.39515,0.89849
32.04109,0.92824
29.49138,0.90397
29.49652,0.90385
29.24086,0.90179
31.50357,0.92528
29.27580,0.90227
29.07856,0.90162
30.41004,0.91703
31.12542,0.92139
29.06651,0.89717
28.87589,0.89625
28.97555,0.89535
30.95044,0.91680
29.08540,0.89643
29.06893,0.89623
29.13118,0.89688
31.26680,0.92311
29.19988,0.89904
29.21075,0.90087
31.20940,0.92369
31.67787,0.92592
29.42130,0.90116
29.01063,0.89757
29.27161,0.90040
32.07255,0.93128
29.61543,0.90775
29.50867,0.90724
29.56229,0.90763
32.14268,0.93411
29.83951,0.91402
29.78494,0.91427
32.22435,0.93565
32.36217,0.93631
29.84415,0.91181
30.11658,0.92320
30.18580,0.92364
33.30070,0.94966
29.77530,0.91897
29.65002,0.91798
29.97303,0.92146
33.07932,0.94717
29.39701,0.91597
29.64132,0.91561
32.89158,0.94553
32.91389,0.94586
29.58539,0.91504
29.57735,0.91524
29.85718,0.91908
32.95877,0.94755
29.49119,0.91905
29.49119,0.91905
29.76167,0.92092
34.77355,0.95801
29.76497,0.91662
29.54947,0.91130
32.89037,0.94092
32.92862,0.94151
29.61380,0.91084
30.19046,0.92025
28.44553,0.84289
30.20509,0.87046
28.51865,0.84805
28.40288,0.84724
28.63811,0.85293
30.13849,0.87138
28.71214,0.85496
28.60648,0.85466
29.85792,0.86835
29.99863,0.86991
28.94175,0.85829
28.67490,0.85390
28.76105,0.85228
29.95351,0.86788
28.75447,0.85278
28.73868,0.85233
28.61996,0.84921
30.14382,0.86868
28.58302,0.84698
28.56249,0.84601
29.94770,0.86298
30.06573,0.86422
28.44373,0.84214
28.26738,0.83938
28.63134,0.84713
29.97837,0.86319
28.68463,0.84805
28.60930,0.84763
28.82344,0.84976
30.28239,0.86805
28.88868,0.84866
28.67670,0.84872
30.23540,0.86990
30.32148,0.87081
28.46828,0.84771
28.44294,0.84838
28.67675,0.84988
30.07465,0.86857
28.58652,0.84764
28.49213,0.84683
28.65430,0.84965
29.90954,0.86453
28.59054,0.85018
28.38870,0.84718
30.11370,0.87073
30.09859,0.87051
28.25539,0.84593
28.11206,0.84137
28.19656,0.84156
30.15203,0.86845
28.55323,0.84670
28.55323,0.84670
29.04644,0.85661
31.95395,0.89168
29.67621,0.86681
29.88867,0.91681
33.08489,0.94621
33.00664,0.94666
29.62055,0.91327
29.80067,0.91725
30.08650,0.92057
32.91625,0.94492
29.69010,0.91497
29.54718,0.91386
29.62534,0.91269
32.70847,0.94141
29.97501,0.91847
29.93781,0.91879
32.84650,0.94357
32.95499,0.94439
30.47540,0.92474
30.25679,0.92499
30.32991,0.92532
33.44841,0.95056
29.73249,0.91650
29.71965,0.91627
29.68421,0.91782
32.57226,0.94267
29.31504,0.91017
29.35706,0.91211
32.65046,0.94211
32.70187,0.94265
29.53427,0.91355
29.44154,0.91215
29.69953,0.91615
32.73624,0.94469
29.93520,0.92040
29.96766,0.92073
29.99694,0.91931
33.18222,0.95034
30.32777,0.92629
29.93135,0.92487
32.93140,0.94928
32.90214,0.94940
29.78338,0.91779
29.43664,0.91238
29.43600,0.91327
32.58249,0.94539
29.81665,0.91844
29.66162,0.91736
29.79736,0.91771
32.64259,0.94560
29.64359,0.91494
29.66601,0.91346
32.31678,0.93974
32.40160,0.94060
29.57129,0.91128
29.38793,0.90817
29.42116,0.90747
29.74247,0.88080
28.88863,0.86774
28.88863,0.86774
29.16250,0.87169
30.58350,0.89367
29.55440,0.88023
29.27372,0.87459
29.86420,0.88197
30.08451,0.88509
29.22532,0.87611
29.10083,0.87654
29.13449,0.87783
30.65667,0.89861
29.25977,0.88189
29.28504,0.88210
29.07600,0.87956
30.48963,0.89707
29.13685,0.88009
28.82035,0.87529
30.18813,0.89508
30.43356,0.89740
29.42173,0.88468
28.91753,0.87912
29.30996,0.88524
30.76469,0.90237
29.44144,0.88687
29.37163,0.88616
29.60117,0.88968
30.76939,0.90180
29.56547,0.88814
29.58317,0.88938
30.42545,0.89719
30.66780,0.89930
29.59833,0.88644
29.31187,0.88272
29.11207,0.88038
33.98913,0.95736
30.10167,0.92634
30.14177,0.92628
30.78438,0.93234
33.75757,0.95592
30.50812,0.93036
30.45494,0.92988
33.71234,0.95508
33.66715,0.95524
30.68631,0.93222
30.68638,0.93474
30.95658,0.93728
33.72418,0.95944
30.78336,0.93704
30.55424,0.93497
30.61674,0.93690
33.78873,0.95829
30.48134,0.93276
30.34634,0.93020
33.60071,0.95357
33.63206,0.95408
30.68239,0.93119
30.45363,0.92892
30.61230,0.93227
34.18712,0.95840
30.56374,0.93366
30.56374,0.93366
30.57558,0.93554
35.72298,0.96949
30.55611,0.93389
30.14485,0.92949
33.98484,0.95728
33.97760,0.95760
30.23496,0.92706
30.13707,0.92560
29.87373,0.92160
33.88141,0.95290
30.09508,0.92208
30.07407,0.92186
29.87253,0.92026
33.86253,0.95383
30.59000,0.92649
28.72338,0.83990
30.24425,0.86221
30.19407,0.86197
28.83549,0.84105
28.53376,0.83853
28.44395,0.83635
30.12759,0.86448
28.54755,0.84249
28.52165,0.84204
28.54799,0.84130
30.10068,0.86683
28.60257,0.84544
28.83798,0.84915
29.81390,0.86077
29.90788,0.86149
28.96855,0.85002
27.81098,0.83501
27.65902,0.83223
33.16444,0.94959
29.72081,0.91761
29.81474,0.91888
29.58169,0.91680
32.71839,0.94766
29.50857,0.91473
29.96452,0.91992
33.23556,0.94887
33.19981,0.94917
30.29939,0.92439
29.90210,0.91959
30.13586,0.91984
32.82066,0.94428
29.99038,0.91683
30.00709,0.91708
29.38436,0.91054
33.01632,0.94801
29.79079,0.91968
29.94875,0.92208
33.67677,0.95628
33.66360,0.95673
29.67938,0.92366
29.96450,0.92762
29.90542,0.92777
33.57278,0.95673
28.40605,0.84132
28.40605,0.84132
28.94946,0.85243
31.09184,0.87823
28.75496,0.84873
28.47980,0.84120
30.17785,0.86504
30.19527,0.86528
28.11820,0.83395
28.13067,0.83672
28.14473,0.83721
29.66989,0.85782
28.43780,0.83902
28.39205,0.83788
28.37247,0.83728
29.66650,0.85470
28.42922,0.83374
28.34316,0.83014
29.72100,0.85139
29.82565,0.85274
28.40649,0.82950
28.32970,0.82814
28.29876,0.82717
29.71843,0.84910
28.85632,0.83496
28.85533,0.83486
28.21280,0.82930
35.81921,0.96929
35.24014,0.96550
35.34611,0.96589
