PSNR_YYUV,SSIM (precise)_YYUV
concert_1920x1080_30.yuv,concert_1920x1080_30.yuv
v205_avc_cuton_0B/concert_1920x1080_30_5M.264,v205_avc_cuton_0B/concert_1920x1080_30_5M.264
AVG: 41.80830,AVG: 0.98150
43.76238,0.98613
39.97266,0.97648
39.55894,0.97420
39.59481,0.97369
39.66294,0.97386
39.67664,0.97374
39.74999,0.97392
39.46310,0.97235
39.36995,0.97211
39.58630,0.97299
39.86333,0.97370
40.81448,0.97804
40.53640,0.97728
40.72930,0.97797
40.69761,0.97768
40.79743,0.97825
40.85518,0.97837
40.88128,0.97818
40.96837,0.97880
40.68322,0.97784
40.71336,0.97813
40.37536,0.97665
40.52604,0.97707
41.20700,0.97969
41.17383,0.97976
41.22898,0.97991
41.33010,0.98029
41.19318,0.97973
41.28471,0.97993
41.38696,0.98024
41.48980,0.98094
41.57238,0.98141
41.54972,0.98099
41.63105,0.98095
41.66174,0.98103
42.18327,0.98227
45.22687,0.99010
44.49341,0.98835
44.62085,0.98875
44.31118,0.98778
44.41684,0.98789
43.99864,0.98683
44.29517,0.98751
44.03671,0.98697
43.68311,0.98605
43.84943,0.98676
43.91920,0.98684
43.53666,0.98592
43.63061,0.98628
43.40371,0.98598
43.36662,0.98589
43.42899,0.98578
43.51295,0.98589
43.41518,0.98574
43.29745,0.98531
43.22176,0.98496
43.18993,0.98475
43.25847,0.98475
43.33844,0.98487
43.35583,0.98470
46.04427,0.98969
44.18587,0.98681
44.15815,0.98665
43.76675,0.98568
43.85951,0.98580
43.99268,0.98627
43.45190,0.98508
43.33620,0.98486
42.49815,0.98320
42.20395,0.98297
42.22899,0.98301
41.97347,0.98218
41.67593,0.98071
41.86853,0.98149
41.86959,0.98147
41.50383,0.98015
41.57301,0.98029
41.77105,0.98084
41.81776,0.98079
41.76685,0.98054
41.75164,0.98021
41.99367,0.98099
42.05176,0.98112
42.56767,0.98210
42.68139,0.98230
42.91582,0.98288
43.02526,0.98281
43.17377,0.98336
43.22197,0.98344
43.39764,0.98366
43.68761,0.98487
43.67681,0.98447
44.16092,0.98658
43.85146,0.98539
43.88240,0.98538
44.46252,0.98684
45.19460,0.98878
44.76666,0.98753
45.02985,0.98865
44.99048,0.98824
45.01923,0.98821
44.85235,0.98768
46.82093,0.99194
45.93154,0.99001
46.14679,0.99067
46.06900,0.99035
46.13848,0.99039
45.67937,0.98931
46.05462,0.99028
45.53922,0.98909
45.85655,0.99003
