PSNR_YYUV,SSIM (precise)_YYUV
concert_1920x1080_30.yuv,concert_1920x1080_30.yuv
x264/concert_1920x1080_30_5M.264,x264/concert_1920x1080_30_5M.264
AVG: 41.94049,AVG: 0.98394
46.19149,0.99116
46.45057,0.99177
46.18917,0.99111
46.94512,0.99215
46.96333,0.99219
46.26036,0.99102
45.71461,0.99064
46.11416,0.99071
46.13037,0.99084
46.37173,0.99103
46.40027,0.99109
45.94683,0.99112
43.82171,0.98791
42.24808,0.98542
41.59935,0.98330
41.91025,0.98428
42.04270,0.98457
41.02920,0.98100
39.96379,0.97767
40.33986,0.97820
40.31990,0.97846
40.31674,0.97828
40.42673,0.97866
40.19898,0.97848
40.09822,0.97856
40.22319,0.97853
39.99205,0.97797
39.78218,0.97698
39.83634,0.97716
38.45304,0.97092
38.93262,0.97311
38.86570,0.97342
39.23502,0.97480
39.36973,0.97447
39.39737,0.97460
38.75370,0.97218
45.58820,0.99177
42.00097,0.98572
41.97704,0.98550
42.05101,0.98512
41.93833,0.98495
41.67072,0.98412
42.05680,0.98471
41.95919,0.98403
41.44165,0.98246
42.22082,0.98484
42.26432,0.98493
42.02007,0.98461
42.14445,0.98445
42.03028,0.98495
42.01169,0.98432
41.76710,0.98346
41.81063,0.98355
41.52862,0.98300
41.77061,0.98385
41.63295,0.98287
41.32589,0.98227
41.49417,0.98224
41.37904,0.98206
41.20547,0.98133
41.50621,0.98277
41.22190,0.98204
41.73900,0.98298
41.64789,0.98251
41.70374,0.98261
41.53645,0.98242
41.52116,0.98233
41.82608,0.98285
41.75356,0.98245
42.57058,0.98495
42.61091,0.98501
42.43949,0.98429
42.39595,0.98413
42.64738,0.98468
42.67012,0.98454
42.26843,0.98335
42.31718,0.98344
41.04161,0.98086
41.31496,0.98078
41.56146,0.98134
41.79037,0.98217
42.30322,0.98316
42.21811,0.98303
42.34518,0.98321
42.64137,0.98441
42.78410,0.98417
43.18392,0.98506
43.58931,0.98552
43.63531,0.98557
43.41049,0.98539
43.39026,0.98547
42.90702,0.98413
44.46075,0.98800
43.55803,0.98597
43.61103,0.98604
43.14816,0.98560
42.86601,0.98572
42.78032,0.98490
43.31538,0.98693
43.73695,0.98724
43.77492,0.98728
43.23302,0.98614
46.73619,0.99257
44.70834,0.98918
45.06477,0.99021
45.48585,0.99056
45.52753,0.99060
44.17785,0.98816
44.57592,0.98938
43.89351,0.98764
44.28616,0.98915
44.43196,0.98842
44.47353,0.98849
44.10830,0.98868
43.83127,0.98761
44.44698,0.98956
44.45312,0.98960
44.56467,0.98916
44.60960,0.98923
44.14122,0.98915
43.77739,0.98777
44.04270,0.98878
43.50038,0.98692
44.68847,0.98892
44.72649,0.98896
43.88390,0.98718
44.32493,0.98909
42.98750,0.98538
41.84269,0.98263
42.28757,0.98372
42.30623,0.98377
41.38043,0.98147
41.69644,0.98215
40.62000,0.97935
40.65644,0.97870
41.12405,0.98031
41.16808,0.98044
40.31834,0.97830
40.29737,0.97758
39.64213,0.97563
39.83440,0.97573
40.09945,0.97623
40.12858,0.97635
39.45170,0.97426
39.69840,0.97400
39.37000,0.97336
39.82143,0.97357
40.46765,0.97622
40.50777,0.97640
40.22928,0.97562
40.44474,0.97630
40.30061,0.97628
40.41952,0.97648
40.40958,0.97629
40.44357,0.97643
39.68517,0.97441
39.89899,0.97393
40.12865,0.97511
39.86934,0.97453
40.55814,0.97636
40.58419,0.97647
40.43930,0.97665
40.47352,0.97690
40.58982,0.97694
40.63296,0.97750
40.82370,0.97782
40.84267,0.97789
40.38227,0.97682
40.37341,0.97629
40.12971,0.97649
40.37812,0.97687
40.32348,0.97604
40.34666,0.97613
39.29433,0.97203
38.97651,0.97103
39.17474,0.97069
39.26740,0.97108
40.08369,0.97461
40.10715,0.97472
39.64940,0.97337
39.68950,0.97363
39.39590,0.97232
44.63215,0.99083
45.79021,0.99067
45.80239,0.99070
43.99757,0.98907
43.36305,0.98774
43.88104,0.98910
43.16109,0.98724
44.18887,0.98937
44.23162,0.98943
43.04619,0.98654
43.51151,0.98820
42.94676,0.98647
43.64568,0.98835
44.15729,0.98824
44.19872,0.98831
44.01066,0.98862
43.80176,0.98788
44.21930,0.98899
44.05463,0.98848
44.72737,0.98979
44.77573,0.98985
43.59854,0.98766
45.45422,0.99071
44.15653,0.98873
44.36039,0.98929
44.29619,0.98878
44.32593,0.98883
43.70506,0.98888
42.81767,0.98669
43.19511,0.98814
42.91292,0.98692
44.16518,0.98958
44.19368,0.98963
43.27039,0.98783
43.91248,0.98979
43.59983,0.98870
44.04153,0.99006
43.97307,0.98906
44.01165,0.98912
43.81765,0.98924
42.97556,0.98698
43.54573,0.98854
43.20157,0.98746
44.17045,0.98974
44.20097,0.98979
43.22470,0.98737
43.43653,0.98891
43.01780,0.98726
43.88184,0.98943
44.14729,0.98938
44.17875,0.98942
42.78996,0.98680
44.96876,0.99041
43.45157,0.98814
43.17377,0.99038
41.03535,0.98552
41.06034,0.98560
38.61718,0.97785
37.89591,0.97594
38.84780,0.97753
39.07647,0.97834
39.12022,0.97923
39.04612,0.97896
39.19934,0.97836
38.97281,0.97709
39.49219,0.98094
39.20393,0.97916
39.90540,0.98116
39.94258,0.98129
38.27339,0.97612
39.21749,0.97849
39.63555,0.98062
39.87214,0.98206
40.35813,0.98252
40.38926,0.98261
39.71351,0.98057
39.97945,0.98205
39.49955,0.97961
39.80832,0.97998
40.50991,0.98336
40.53526,0.98345
39.57336,0.98015
39.86209,0.98056
38.93209,0.97804
39.52943,0.97918
39.98192,0.97965
40.00933,0.97980
38.74483,0.97618
39.10639,0.97723
39.45599,0.97815
