PSNR_YYUV,SSIM (precise)_YYUV
lol_1920x1080_25.yuv,lol_1920x1080_25.yuv
v205_avc_cutoff_3B/lol_1920x1080_25_5M.264,v205_avc_cutoff_3B/lol_1920x1080_25_5M.264
AVG: 41.35758,AVG: 0.98326
40.48365,0.98503
37.78839,0.97104
37.89583,0.97227
37.95463,0.97252
38.70362,0.97548
38.49837,0.97464
37.97918,0.97251
37.88582,0.97174
38.24964,0.97241
37.63036,0.96976
37.47109,0.96908
37.39480,0.96873
38.17231,0.97275
38.17438,0.97306
38.19961,0.97291
38.33791,0.97355
38.10066,0.97248
39.56495,0.98335
39.16832,0.97984
39.05864,0.97941
39.42131,0.98115
39.70042,0.98240
39.50462,0.98087
39.60497,0.98119
40.20792,0.98530
40.35348,0.98540
40.14603,0.98343
40.19509,0.98365
40.38198,0.98495
40.71538,0.98460
40.68064,0.98439
40.69035,0.98425
40.78356,0.98461
41.71149,0.98579
41.79760,0.98597
41.71408,0.98564
42.15881,0.98684
42.22254,0.98625
42.30587,0.98657
42.31155,0.98645
42.58642,0.98729
43.01939,0.98730
43.12611,0.98761
43.11290,0.98752
43.54643,0.98867
43.40049,0.98817
43.35615,0.98781
43.29646,0.98771
43.55508,0.98831
46.92862,0.99245
47.82217,0.99284
47.06049,0.99217
47.05401,0.99216
46.99717,0.99205
46.82009,0.99183
46.92739,0.99194
46.86353,0.99182
46.75514,0.99181
47.15685,0.99209
46.76250,0.99173
46.66386,0.99154
46.62311,0.99152
47.01729,0.99185
46.60763,0.99146
46.56724,0.99137
46.57906,0.99136
46.93486,0.99166
46.94600,0.99171
46.56912,0.99130
46.53103,0.99120
46.95419,0.99164
46.42345,0.99106
46.50759,0.99112
46.42364,0.99104
46.89195,0.99141
46.07020,0.99021
46.06798,0.99003
46.66271,0.99093
46.72351,0.99103
46.71152,0.99105
46.73919,0.99110
46.54180,0.99058
46.60526,0.99063
46.61471,0.99095
46.40239,0.99049
46.35421,0.99051
46.91595,0.99123
46.34727,0.99057
46.34267,0.99043
46.34439,0.99030
46.78326,0.99096
46.41943,0.99070
46.41546,0.99061
46.29939,0.99040
46.81053,0.99109
46.30082,0.99034
46.18138,0.98997
46.33575,0.99045
46.72744,0.99089
47.70613,0.99222
49.15359,0.99344
46.90176,0.99058
47.07914,0.99109
47.00153,0.99063
47.42995,0.99117
47.28379,0.99317
46.52097,0.99126
46.48354,0.99136
47.62680,0.99250
46.04840,0.99051
45.69224,0.98949
45.81007,0.98997
47.11613,0.99174
45.51407,0.98956
45.67531,0.99004
45.70533,0.98992
46.50227,0.99081
45.27034,0.98936
45.14806,0.98900
45.52826,0.98970
46.20164,0.99043
45.00987,0.98839
45.21912,0.98915
45.04872,0.98911
45.60860,0.98974
43.82889,0.98738
43.72541,0.98710
44.01772,0.98915
45.82327,0.99091
43.53039,0.98748
43.86062,0.98816
43.63934,0.98737
44.28738,0.98845
43.75486,0.98812
43.29232,0.98722
43.37856,0.98735
43.76865,0.98713
42.60503,0.98438
43.08378,0.98569
42.68262,0.98452
43.78284,0.98673
42.21386,0.98319
42.71105,0.98492
42.25004,0.98357
43.55605,0.98639
42.25014,0.98361
42.88907,0.98591
42.81104,0.98529
43.54112,0.98695
42.94971,0.98561
42.61230,0.98661
41.37922,0.98333
41.06423,0.98227
40.90012,0.98113
41.63313,0.98386
40.58231,0.98064
40.57026,0.98031
40.64543,0.98020
41.49023,0.98304
40.30267,0.97844
40.42625,0.97917
40.60048,0.97973
41.15559,0.98184
40.23104,0.97914
39.84766,0.97665
38.86168,0.97511
39.68842,0.98142
38.67989,0.97495
38.63042,0.97444
39.28497,0.98227
39.43815,0.98090
39.13011,0.98086
38.92501,0.97875
39.17451,0.97971
39.37167,0.98064
38.87194,0.97847
38.81630,0.97792
38.78119,0.97792
39.18567,0.97990
38.85394,0.97824
38.86226,0.97814
38.81929,0.97811
39.05964,0.97854
38.87745,0.97797
38.94070,0.97832
38.89980,0.97815
39.11568,0.97873
39.12840,0.97882
39.10981,0.97879
39.04357,0.97799
39.06905,0.97807
38.91053,0.97740
38.79572,0.97678
38.76070,0.97667
38.91788,0.97682
38.74184,0.97630
38.71701,0.97598
38.57457,0.97566
38.81214,0.97622
41.83204,0.98538
43.15924,0.98719
41.70189,0.98450
41.29173,0.98342
40.97272,0.98219
41.42345,0.98309
40.61304,0.98088
40.32803,0.97918
40.34837,0.97886
40.87607,0.97981
39.82086,0.97557
39.80719,0.97600
39.96793,0.97610
40.58434,0.97849
39.58126,0.97378
39.73569,0.97477
39.64977,0.97488
40.46424,0.97740
39.69245,0.97410
39.83614,0.97574
40.15266,0.97674
40.56360,0.97725
39.48505,0.97123
39.47318,0.97139
39.49177,0.97170
40.07977,0.97347
40.16451,0.97493
40.06065,0.97456
40.08052,0.97479
40.12582,0.97405
40.01006,0.97357
39.96875,0.97350
39.91332,0.97334
40.13576,0.97414
40.01674,0.97366
39.97150,0.97360
39.98405,0.97359
40.11841,0.97409
39.56176,0.97163
39.69684,0.97308
39.53873,0.97119
40.20560,0.97512
39.49321,0.97163
39.55728,0.97245
39.48876,0.97206
40.06149,0.97397
39.69508,0.97282
39.91657,0.97442
39.81982,0.97399
40.24994,0.97612
40.92209,0.97796
44.80336,0.99217
44.51891,0.99138
44.29117,0.99089
43.56083,0.98897
43.53814,0.98891
