PSNR_YYUV,SSIM (precise)_YYUV
lol_1920x1080_25.yuv,lol_1920x1080_25.yuv
v205_avc_cuton_0B/lol_1920x1080_25_4M.264,v205_avc_cuton_0B/lol_1920x1080_25_4M.264
AVG: 41.86607,AVG: 0.98476
38.34697,0.98029
36.81194,0.96973
36.87494,0.96958
36.99617,0.97036
36.81259,0.96902
36.87711,0.96944
37.02316,0.97023
37.10570,0.97023
36.99437,0.96932
37.06684,0.96987
37.07256,0.97028
37.19487,0.97055
37.59558,0.97297
37.65531,0.97387
38.63930,0.97663
38.83174,0.97780
38.89080,0.97813
39.49664,0.98495
39.25861,0.98254
39.50002,0.98307
39.45951,0.98228
39.64653,0.98390
39.53691,0.98278
40.20034,0.98330
40.46451,0.98541
40.50714,0.98570
40.28663,0.98338
40.30643,0.98333
40.83344,0.98482
40.84995,0.98467
41.76434,0.98598
41.83235,0.98602
41.87343,0.98612
41.90088,0.98619
42.16068,0.98636
42.19878,0.98639
43.37364,0.98839
43.47482,0.98839
43.47410,0.98837
43.50538,0.98831
43.49662,0.98847
43.50599,0.98826
43.50616,0.98829
43.51617,0.98823
43.51189,0.98842
43.49767,0.98818
43.41164,0.98774
43.45333,0.98784
43.71498,0.98838
43.72387,0.98830
49.51328,0.99408
48.22120,0.99319
48.28782,0.99320
48.10347,0.99307
48.11289,0.99292
48.57384,0.99320
48.49039,0.99309
48.40830,0.99304
48.24217,0.99288
48.21117,0.99283
48.14241,0.99273
48.12584,0.99274
48.02534,0.99258
47.98952,0.99253
47.97239,0.99248
47.99491,0.99249
47.89942,0.99233
47.90540,0.99234
47.76754,0.99221
47.33540,0.99183
47.36884,0.99191
46.90094,0.99145
46.80189,0.99133
46.78635,0.99126
46.80882,0.99117
46.33031,0.99035
46.15053,0.98985
45.60276,0.98898
45.64634,0.98904
45.64752,0.98905
45.64713,0.98905
44.60619,0.98764
44.67206,0.98772
44.37163,0.98658
43.96029,0.98582
44.02151,0.98606
43.72835,0.98515
43.74419,0.98546
43.82452,0.98594
43.55071,0.98481
43.65949,0.98510
43.70340,0.98567
43.58300,0.98521
43.50212,0.98515
43.47781,0.98488
43.57927,0.98550
43.41745,0.98489
43.52024,0.98513
43.43834,0.98495
43.31413,0.98475
46.18392,0.99067
43.41320,0.98602
43.07325,0.98461
42.98096,0.98440
42.91790,0.98413
43.88097,0.98993
43.18083,0.98705
43.27681,0.98757
42.97993,0.98615
42.89740,0.98588
42.59882,0.98459
42.68182,0.98515
42.67321,0.98483
42.45065,0.98441
42.64481,0.98509
42.68494,0.98529
42.58015,0.98487
42.72188,0.98534
42.70619,0.98527
42.55632,0.98464
42.32847,0.98430
42.12781,0.98345
42.15546,0.98391
42.03237,0.98416
41.82515,0.98345
41.87774,0.98351
42.10858,0.98421
42.71198,0.98793
42.33992,0.98661
41.41327,0.98319
40.99109,0.98188
40.65381,0.98031
40.63654,0.98061
41.11118,0.98188
40.74065,0.98065
40.76931,0.98072
41.20197,0.98208
41.09130,0.98130
41.29421,0.98186
41.17561,0.98152
41.46574,0.98229
41.32269,0.98166
41.67870,0.98370
41.38584,0.98262
41.29446,0.98239
41.36971,0.98231
41.88795,0.98479
41.45454,0.98295
41.61483,0.98373
41.53083,0.98283
43.14774,0.98761
41.91544,0.98461
41.79589,0.98417
41.18855,0.98154
41.27822,0.98249
41.01139,0.98135
41.01965,0.98128
40.85246,0.97989
41.00375,0.98084
40.77293,0.97969
40.87548,0.98022
40.73317,0.97942
40.82640,0.98023
40.82924,0.98045
40.75105,0.97987
40.94154,0.98350
38.69151,0.97640
38.77432,0.97618
38.66903,0.97489
39.36208,0.98330
39.12077,0.98047
39.37402,0.98329
39.10821,0.98057
38.96806,0.97948
39.06768,0.98013
38.94405,0.97907
38.88580,0.97875
38.94186,0.97912
38.97033,0.97980
39.29982,0.98008
39.38431,0.98030
39.54041,0.98063
39.53254,0.98045
40.22044,0.98190
40.22708,0.98189
40.25478,0.98204
40.29145,0.98214
40.29972,0.98216
40.30482,0.98218
40.31165,0.98191
40.33364,0.98197
40.36287,0.98204
40.33176,0.98187
40.36280,0.98208
40.30559,0.98167
40.55298,0.98211
41.60416,0.98441
41.66779,0.98472
41.87942,0.98494
43.02992,0.98714
48.75055,0.99357
47.52865,0.99272
47.24670,0.99244
46.77322,0.99152
46.32090,0.99056
46.25187,0.99064
46.03304,0.98981
45.82264,0.98931
45.83585,0.98938
45.58339,0.98854
45.32574,0.98818
45.46087,0.98856
45.35715,0.98835
45.13297,0.98765
45.27005,0.98808
45.28675,0.98833
45.12213,0.98761
45.23384,0.98793
45.27573,0.98804
45.17363,0.98773
45.22173,0.98769
44.87579,0.98651
44.82038,0.98639
45.00486,0.98718
44.91503,0.98680
44.95624,0.98696
44.96711,0.98704
44.83610,0.98686
44.60918,0.98642
44.49606,0.98620
44.44450,0.98611
44.28510,0.98592
44.18122,0.98585
44.07738,0.98562
43.94640,0.98533
43.94307,0.98528
43.90429,0.98526
43.91204,0.98526
43.82966,0.98555
43.52551,0.98425
43.47142,0.98418
43.24806,0.98355
43.28015,0.98375
43.04572,0.98308
43.00314,0.98256
42.89706,0.98249
43.16097,0.98340
42.96889,0.98276
43.10157,0.98326
42.92770,0.98273
45.92991,0.99314
45.92991,0.99314
45.92991,0.99314
43.06170,0.98694
43.13622,0.98704
