PSNR_YYUV,SSIM (precise)_YYUV
lol_1920x1080_25.yuv,lol_1920x1080_25.yuv
x264/lol_1920x1080_25_5M.264,x264/lol_1920x1080_25_5M.264
AVG: 45.54634,AVG: 0.99113
46.96693,0.99286
46.39111,0.99163
46.45672,0.99184
46.65929,0.99217
46.99758,0.99239
46.96306,0.99244
46.20244,0.99165
46.46240,0.99156
46.69841,0.99173
45.99580,0.99118
46.32106,0.99131
46.24984,0.99102
46.73335,0.99151
45.86144,0.99083
44.71374,0.98940
44.31698,0.98857
43.16412,0.98667
44.78336,0.99173
44.15758,0.99011
44.14899,0.99024
44.34452,0.99046
44.94360,0.99178
44.72386,0.99099
44.13849,0.98940
45.20007,0.99166
45.13877,0.99162
44.63957,0.99064
44.77579,0.99065
45.50864,0.99211
45.16113,0.99176
45.19559,0.99163
45.19715,0.99149
45.25364,0.99150
45.23331,0.99149
45.33270,0.99146
45.25798,0.99126
45.23365,0.99135
44.93056,0.99111
45.25840,0.99136
45.24022,0.99127
45.31100,0.99132
45.20499,0.99121
45.26118,0.99130
45.26568,0.99129
45.38626,0.99150
45.49476,0.99175
45.57671,0.99162
45.56559,0.99169
45.96108,0.99191
44.69680,0.99055
46.58726,0.99278
46.27903,0.99260
46.33660,0.99262
45.70812,0.99219
46.16928,0.99235
46.26608,0.99249
46.11999,0.99246
45.54444,0.99220
46.11658,0.99250
46.25854,0.99238
46.07073,0.99231
45.81960,0.99218
46.19935,0.99236
46.29428,0.99234
46.06825,0.99212
45.90181,0.99199
45.74960,0.99187
45.85442,0.99191
45.39619,0.99158
45.63095,0.99157
45.02919,0.99124
45.35870,0.99143
45.20752,0.99119
45.60386,0.99138
44.91605,0.99076
45.22877,0.99076
45.25127,0.99056
46.11700,0.99151
46.17767,0.99171
46.17099,0.99175
46.14164,0.99177
45.63473,0.99067
45.71376,0.99077
46.11831,0.99141
45.94637,0.99116
46.03409,0.99133
46.00036,0.99096
46.07453,0.99122
45.90862,0.99107
45.47693,0.99028
45.28017,0.99027
45.95680,0.99106
45.40072,0.99043
45.49509,0.99038
45.16845,0.98994
45.91337,0.99101
45.49317,0.99038
45.44752,0.99033
45.83859,0.99082
45.85452,0.99083
47.13261,0.99216
46.32079,0.99078
46.59229,0.99113
46.35175,0.99070
46.28877,0.99054
47.23851,0.99369
46.76982,0.99261
46.94547,0.99294
46.59359,0.99211
46.55648,0.99218
46.27152,0.99144
46.52995,0.99199
46.18663,0.99138
45.84908,0.99118
46.12436,0.99151
45.90978,0.99145
45.92468,0.99123
46.22919,0.99152
45.93510,0.99123
45.91486,0.99101
45.99115,0.99100
45.35857,0.99031
45.03113,0.99029
45.25554,0.99030
44.76214,0.99001
44.77991,0.99001
44.84354,0.98981
46.07225,0.99268
45.89812,0.99222
45.85726,0.99207
46.04514,0.99233
45.78464,0.99187
45.71890,0.99194
45.39949,0.99177
45.70564,0.99171
45.48556,0.99160
45.56292,0.99177
45.37836,0.99118
45.72560,0.99152
45.34458,0.99086
45.62527,0.99116
45.52102,0.99079
46.03304,0.99174
45.76271,0.99131
45.64333,0.99101
45.53072,0.99080
46.19885,0.99195
45.98444,0.99151
46.17682,0.99188
44.95195,0.99010
47.50778,0.99313
46.56535,0.99213
46.57320,0.99188
46.13616,0.99110
46.25727,0.99151
46.11670,0.99125
45.99715,0.99085
45.87378,0.99042
46.10376,0.99090
45.85459,0.99035
45.95349,0.99044
45.72333,0.99007
45.99600,0.99059
45.74558,0.99041
45.48420,0.98982
45.36651,0.99110
44.17548,0.98977
44.62260,0.98994
44.67549,0.99002
44.98579,0.99208
45.09872,0.99181
45.59160,0.99304
45.21976,0.99214
44.73556,0.99135
44.51077,0.99140
45.04670,0.99180
44.79470,0.99161
44.80278,0.99174
45.24407,0.99274
45.17263,0.99206
45.27783,0.99229
44.91423,0.99198
44.99701,0.99191
45.21252,0.99194
44.82634,0.99173
44.93982,0.99188
45.06815,0.99193
45.16691,0.99197
45.04056,0.99193
45.23046,0.99198
45.18516,0.99196
45.19537,0.99169
44.92229,0.99156
44.72717,0.99137
44.92790,0.99145
44.92179,0.99137
44.84418,0.99130
44.50819,0.99107
44.78728,0.99128
44.75674,0.99095
47.03854,0.99293
45.65475,0.99199
45.64265,0.99191
45.48571,0.99150
45.81068,0.99112
44.80136,0.99034
45.26280,0.99041
45.16681,0.99034
45.72218,0.99067
45.57264,0.99024
45.58349,0.99034
45.91611,0.99071
45.69077,0.99048
45.44997,0.98978
45.71675,0.99017
45.63976,0.99017
45.56309,0.99001
45.82018,0.99020
45.88310,0.99076
45.82100,0.99032
45.84213,0.99002
45.20518,0.98895
45.16782,0.98886
44.71178,0.98865
46.17200,0.99041
45.86582,0.99034
45.93010,0.99042
45.61363,0.99017
46.05896,0.99036
45.97214,0.99045
46.07021,0.99049
46.06425,0.99052
46.15656,0.99056
45.78947,0.99033
45.89395,0.99029
45.67172,0.99010
45.97474,0.99023
45.39540,0.99003
45.55468,0.99014
45.22327,0.98935
45.60637,0.98936
44.70710,0.98853
45.15479,0.98886
44.80336,0.98841
45.29226,0.98857
44.50658,0.98793
44.98045,0.98862
44.65916,0.98804
44.84288,0.98813
44.54153,0.98771
46.73598,0.99443
46.74411,0.99448
46.73346,0.99448
44.40449,0.99085
44.29393,0.99060
